ticker,file_name,event_trading_day,total_tokens,neg_count,pos_count,neg_rate,pos_rate,neg_rate_pres,pos_rate_pres,neg_rate_qa,pos_rate_qa
INTC,2018-Jul-26-INTC.txt,2018-07-27,7571,63,166,0.0083212257297582,0.0219257693831726,0.0050761421319796,0.0279187817258883,0.0101807604404737,0.01849158528984
INTC,2018-Oct-25-INTC.txt,2018-10-26,6999,44,139,0.0062866123731961,0.0198599799971424,0.0041436464088397,0.0276243093922651,0.0077991713380453,0.014379722154521
INTC,2019-Jan-24-INTC.txt,2019-01-25,8148,69,126,0.0084683357879234,0.0154639175257731,0.0068986202759448,0.0215956808638272,0.0095554632322393,0.0112172829248026
INTC,2019-Apr-25-INTC.txt,2019-04-26,7443,89,124,0.0119575440010748,0.0166599489453177,0.0122214234363767,0.0222861250898634,0.0118000429092469,0.013301866552242
INTC,2019-Jul-25-INTC.txt,2019-07-26,7951,69,152,0.0086781536913595,0.0191170921896616,0.0079954311821816,0.0288406624785836,0.0092155540570914,0.0114632501685772
INTC,2019-Oct-24-INTC.txt,2019-10-25,7582,57,140,0.0075178053284093,0.0184647850171458,0.0045385779122541,0.0283661119515885,0.0091130012150668,0.0131632239773187
INTC,2020-Jan-23-INTC.txt,2020-01-24,8184,51,148,0.0062316715542521,0.0180840664711632,0.0032247662044501,0.0290228958400515,0.0080661026952587,0.0114105843006098
INTC,2020-Apr-23-INTC.txt,2020-04-24,8392,80,153,0.0095328884652049,0.0182316491897044,0.0113174695298897,0.0200232153221125,0.0082895268904164,0.0169834209462191
INTC,2020-Jul-23-INTC.txt,2020-07-24,8086,76,142,0.0093989611674499,0.0175612169181301,0.0086063298167684,0.0219322598556357,0.0100356824264049,0.0140499553969669
LULU,2017_Q4_lulu_processed.txt,2018-01-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2018_Q1_lulu_processed.txt,2018-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2018_Q2_lulu_processed.txt,2018-07-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2018_Q3_lulu_processed.txt,2018-10-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2018_Q4_lulu_processed.txt,2019-01-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2019_Q1_lulu_processed.txt,2019-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2019_Q2_lulu_processed.txt,2019-07-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2019_Q3_lulu_processed.txt,2019-10-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2019_Q4_lulu_processed.txt,2020-01-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2020_Q1_lulu_processed.txt,2020-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2020_Q2_lulu_processed.txt,2020-07-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2020_Q3_lulu_processed.txt,2020-11-02,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2020_Q4_lulu_processed.txt,2021-02-01,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2021_Q1_lulu_processed.txt,2021-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2021_Q2_lulu_processed.txt,2021-08-02,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2021_Q3_lulu_processed.txt,2021-11-01,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2021_Q4_lulu_processed.txt,2022-01-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2022_Q1_lulu_processed.txt,2022-05-02,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2022_Q2_lulu_processed.txt,2022-08-01,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2022_Q3_lulu_processed.txt,2022-10-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2022_Q4_lulu_processed.txt,2023-01-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2023_Q1_lulu_processed.txt,2023-05-01,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2024_Q1_lulu_processed.txt,2024-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2024_Q2_lulu_processed.txt,2024-07-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2024_Q3_lulu_processed.txt,2024-10-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2025_Q1_lulu_processed.txt,2025-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
LULU,2025_Q2_lulu_processed.txt,2025-07-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2017_Q4_meta_processed.txt,2018-01-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2018_Q1_meta_processed.txt,2018-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2018_Q2_meta_processed.txt,2018-07-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2018_Q3_meta_processed.txt,2018-10-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2018_Q4_meta_processed.txt,2019-01-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2019_Q1_meta_processed.txt,2019-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2019_Q2_meta_processed.txt,2019-07-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2019_Q3_meta_processed.txt,2019-10-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2019_Q4_meta_processed.txt,2020-01-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2020_Q1_meta_processed.txt,2020-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2020_Q2_meta_processed.txt,2020-07-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,2020_Q3_meta_processed.txt,2020-11-02,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
